Words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Charged
dissipate,0,0,0,0,0,0,0,0,0,0,0
dissipated,0,0,0,0,0,0,0,0,0,0,0
dissociation,0,0,0,0,0,0,0,0,0,0,0
dissolution,1,0,0,1,0,1,0,1,1,0,1
dissolve,0,0,0,0,0,0,0,0,0,0,0
dissonance,1,0,0,0,0,1,0,0,0,0,1
dissuade,0,0,0,0,0,0,0,0,0,0,0
distal,0,0,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,0,0,0,0,0,0
distant,0,0,0,0,0,0,0,0,0,0,0
distaste,0,0,1,0,0,1,0,0,0,0,1
distasteful,0,0,1,0,0,1,0,0,0,0,1
distillate,0,0,0,0,0,0,0,0,0,0,0
distillation,0,0,0,0,0,0,1,0,0,0,1
distinction,0,0,0,0,0,0,1,0,0,0,1
distinctive,0,0,0,0,0,0,0,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,0,0,0
distinguishable,0,0,0,0,0,0,0,0,0,0,0
distinguished,0,0,0,0,0,0,0,0,0,0,0
distinguishing,0,0,0,0,0,0,0,0,0,0,0
distorted,0,0,1,0,0,1,0,0,0,0,1
distortion,0,0,0,0,0,1,0,0,0,0,1
distract,0,0,0,0,0,1,0,0,0,0,1
distracted,1,0,0,0,0,1,0,0,0,0,1
distracting,1,1,0,0,0,1,0,0,0,0,1
distraction,0,0,0,0,0,1,0,0,0,0,1
distraught,0,0,0,0,0,1,0,1,0,0,1
distress,1,0,1,1,0,1,0,1,1,0,1
distressed,0,0,0,1,0,1,0,0,0,0,1
distressing,1,0,0,1,0,1,0,0,0,0,1
distribute,0,0,0,0,0,0,0,0,0,0,0
distribution,0,0,0,0,0,0,0,0,0,0,0
district,0,0,0,0,0,0,0,0,0,0,0
distrust,1,0,1,1,0,1,0,0,0,0,1
disturbance,1,0,0,1,0,1,0,1,1,0,1
disturbed,1,0,0,0,0,1,0,1,0,0,1
disuse,0,0,0,0,0,1,0,0,0,0,1
disused,1,0,0,0,0,1,0,0,0,0,1
ditch,0,0,0,0,0,0,0,0,0,0,0
ditto,0,0,0,0,0,0,0,0,0,0,0
ditty,0,0,0,0,1,0,1,0,0,0,1
diurnal,0,0,0,0,0,0,0,0,0,0,0
divan,0,0,0,0,0,0,0,0,0,1,1
dive,0,0,0,0,0,0,0,0,0,0,0
diver,0,0,0,0,0,0,0,0,0,0,0
diverge,0,0,0,0,0,0,0,0,0,0,0
divergence,0,0,0,0,0,0,0,0,0,0,0
divergent,0,0,0,0,0,1,0,0,1,0,1
diverging,0,0,0,0,0,0,0,0,0,0,0
divers,0,0,0,0,0,0,0,0,0,0,0
diverse,0,0,0,0,0,1,1,0,0,0,1
diversified,0,0,0,0,0,0,1,0,0,0,1
diversify,0,0,0,0,0,0,0,0,0,0,0
diversion,0,0,0,0,0,0,1,0,1,0,1
diversity,0,0,0,0,0,0,0,0,0,0,0
divert,0,0,0,0,0,0,0,0,0,0,0
diverting,0,0,0,0,0,0,0,0,0,0,0
divest,0,0,0,0,0,0,0,0,0,0,0
divested,0,0,0,0,0,1,0,0,0,0,1
divestment,0,0,0,0,0,1,0,0,0,0,1
divide,0,0,0,0,0,0,0,0,0,0,0
divided,0,0,0,0,0,0,0,0,0,0,0
dividend,0,0,0,0,0,0,0,0,0,0,0
divination,0,1,0,0,0,0,0,0,0,0,1
divine,0,0,0,0,0,0,0,0,0,0,0
divinity,0,0,0,0,0,0,1,0,0,0,1
divisible,0,0,0,0,0,0,0,0,0,0,0
division,0,0,0,0,0,0,0,0,0,0,0
divisor,0,0,0,0,0,0,0,0,0,0,0
divorce,1,0,1,1,0,1,0,1,1,1,1
divulge,0,0,0,0,0,0,0,0,0,0,0
dizziness,0,0,0,0,0,1,0,0,0,0,1
dizzy,0,0,0,0,0,1,0,0,0,0,1
docile,0,0,0,0,0,0,0,0,0,0,0
dock,0,0,0,0,0,0,0,0,0,0,0
docked,0,0,0,0,0,1,0,0,0,0,1
docket,0,0,0,0,0,0,0,0,0,0,0
doctor,0,0,0,0,0,0,1,0,0,1,1
doctrinal,0,0,0,0,0,0,0,0,0,0,0
doctrine,0,0,0,0,0,0,0,0,0,1,1
document,0,0,0,0,0,0,0,0,0,0,0
documentary,0,0,0,0,0,0,0,0,0,0,0
dodge,0,0,0,0,0,0,0,0,0,0,0
dodging,0,0,0,0,0,0,0,0,0,0,0
doe,0,0,0,0,0,0,0,0,0,0,0
doer,0,0,0,0,0,0,1,0,0,0,1
dog,0,0,0,0,0,0,0,0,0,0,0
dogged,0,0,0,0,0,0,1,0,0,0,1
dogma,0,0,0,0,0,0,0,0,0,1,1
dogmatic,0,0,0,0,0,0,0,0,0,0,0
doings,0,0,0,0,0,0,0,0,0,0,0
doit,0,0,0,0,0,1,0,0,0,0,1
doldrums,0,0,0,0,0,1,0,1,0,0,1
dole,0,0,0,0,0,1,0,1,0,0,1
doll,0,0,0,0,1,0,0,0,0,0,1
dollar,0,0,0,0,0,0,0,0,0,0,0
dolor,0,0,0,0,0,1,0,1,0,0,1
dolphin,0,0,0,0,1,0,1,0,1,1,1
domain,0,0,0,0,0,0,0,0,0,0,0
dome,0,0,0,0,0,0,0,0,0,0,0
domestic,0,0,0,0,0,0,0,0,0,0,0
domesticated,0,0,0,0,0,0,0,0,0,0,0
domestication,0,0,0,0,0,0,0,0,0,0,0
domicile,0,0,0,0,0,0,0,0,0,0,0
domiciled,0,0,0,0,0,0,0,0,0,0,0
dominance,0,0,0,0,0,0,0,0,0,0,0
dominant,0,0,0,1,0,1,0,0,0,0,1
dominate,1,0,0,1,0,1,1,0,0,0,1
dominating,0,0,0,0,0,0,0,0,0,0,0
domination,1,0,0,1,0,1,0,1,0,0,1
dominion,0,0,0,1,0,0,0,0,0,1,1
domino,0,0,0,0,0,0,0,0,0,0,0
don,0,0,0,0,0,0,1,0,0,1,1
donation,0,0,0,0,0,0,1,0,0,0,1
donkey,0,0,1,0,0,1,0,0,0,0,1
donor,0,0,0,0,0,0,0,0,0,0,0
doodle,0,0,0,0,0,1,0,0,0,0,1
doom,0,0,0,1,0,1,0,0,0,0,1
doomed,0,0,0,1,0,1,0,1,0,0,1
doomsday,1,1,1,1,0,1,0,1,0,0,1
door,0,0,0,0,0,0,0,0,0,0,0
doorbell,0,0,0,0,0,0,0,0,0,0,0
doorway,0,0,0,0,0,0,0,0,0,0,0
dormant,0,0,0,0,0,0,0,0,0,0,0
dormitory,0,0,0,0,0,0,0,0,0,0,0
dorsal,0,0,0,0,0,0,0,0,0,0,0
dose,0,0,0,0,0,0,0,0,0,0,0
dot,0,0,0,0,0,0,0,0,0,0,0
double,0,0,0,0,0,0,0,0,0,0,0
doubled,0,0,0,0,0,0,0,0,0,0,0
doublet,0,0,0,0,0,0,0,0,0,0,0
doubling,0,0,0,0,0,0,0,0,0,0,0
doubt,0,0,0,1,0,1,0,1,0,1,1
doubtful,0,0,0,0,0,1,0,0,0,0,1
doubting,0,0,0,0,0,1,0,0,0,0,1
doubtless,0,0,0,0,0,0,1,0,0,1,1
douche,0,0,0,0,0,1,0,0,0,0,1
dough,0,0,0,0,0,0,0,0,0,0,0
doughnut,0,0,0,0,0,0,0,0,0,0,0
dour,0,0,0,0,0,1,0,0,0,0,1
dove,0,1,0,0,1,0,1,0,0,1,1
downcast,0,0,0,0,0,0,0,0,0,0,0
downfall,0,0,0,1,0,1,0,1,0,0,1
downhill,0,0,0,0,0,0,0,0,0,0,0
downpour,0,0,0,0,0,0,0,0,0,0,0
downright,0,0,0,0,0,0,0,0,0,1,1
downy,0,0,0,0,0,0,1,0,0,0,1
dowry,0,0,0,0,0,0,0,0,0,0,0
doze,0,0,0,0,0,0,0,0,0,0,0
dozen,0,0,0,0,0,0,0,0,0,0,0
drab,0,0,0,0,0,1,0,1,0,0,1
draft,0,1,0,0,0,0,0,0,0,0,1
drag,0,0,0,0,0,0,0,0,0,0,0
dragon,0,0,0,1,0,0,0,0,0,0,1
drain,0,0,0,0,0,0,0,0,0,0,0
drainage,0,0,0,0,0,1,0,0,0,0,1
drained,0,0,0,0,0,0,0,0,0,0,0
drake,0,0,0,0,0,0,0,0,0,0,0
drama,0,0,0,0,0,0,0,0,0,0,0
dramatic,0,0,0,0,0,0,0,0,0,0,0
drape,0,0,0,0,0,0,0,0,0,0,0
drapery,0,0,0,0,0,0,0,0,0,0,0
drastic,0,0,0,0,0,0,0,0,0,0,0
draught,0,0,0,0,0,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,0
drawback,0,0,0,0,0,1,0,0,0,0,1
drawer,0,0,0,0,0,0,0,0,0,0,0
drawers,0,0,0,0,0,0,0,0,0,0,0
drawing,0,0,0,0,0,0,0,0,0,0,0
dread,0,1,0,1,0,1,0,0,0,0,1
dreadful,1,1,1,1,0,1,0,1,0,0,1
dreadfully,0,0,1,1,0,1,0,1,1,0,1
dream,0,0,0,0,0,0,0,0,0,0,0
dreamer,0,0,0,0,0,0,0,0,0,0,0
dreaming,0,0,0,0,0,0,0,0,0,0,0
dreamy,0,0,0,0,0,0,0,0,0,0,0
dreary,0,0,0,0,0,1,0,1,0,0,1
dredge,0,0,0,0,0,0,0,0,0,0,0
drenched,0,0,0,0,0,0,0,0,0,0,0
dresser,0,0,0,0,0,0,0,0,0,0,0
dribble,0,0,0,0,0,0,0,0,0,0,0
dried,0,0,0,0,0,0,0,0,0,0,0
drier,0,0,0,0,0,0,0,0,0,0,0
drift,0,0,0,0,0,0,0,0,0,0,0
drifted,0,0,0,0,0,0,0,0,0,0,0
drill,0,0,0,0,0,0,0,0,0,0,0
drink,0,0,0,0,0,0,0,0,0,0,0
drinking,0,0,0,0,0,1,0,0,0,0,1
drip,0,0,0,0,0,0,0,0,0,0,0
dripping,0,0,0,0,0,0,0,0,0,0,0
drivel,0,0,1,0,0,1,0,0,0,0,1
driver,0,0,0,0,0,0,0,0,0,0,0
driveway,0,0,0,0,0,0,0,0,0,0,0
drizzle,0,0,0,0,0,0,0,0,0,0,0
droll,0,0,0,0,0,0,0,0,0,0,0
drone,0,0,0,0,0,1,0,0,0,0,1
drool,0,0,1,0,0,0,0,0,0,0,1
drooping,0,0,0,0,0,1,0,0,0,0,1
drop,0,0,0,0,0,0,0,0,0,0,0
droplet,0,0,0,0,0,0,0,0,0,0,0
drought,0,0,0,0,0,1,0,0,0,0,1
drove,0,0,0,0,0,0,0,0,0,0,0
drown,0,0,0,1,0,1,0,1,0,0,1
drowsiness,0,0,0,0,0,1,0,0,0,0,1
drowsy,0,0,0,0,0,0,0,0,0,0,0
drudgery,0,0,0,0,0,1,0,0,0,0,1
drug,0,0,0,0,0,0,0,0,0,0,0
drugged,0,0,0,0,0,0,0,1,0,0,1
drugstore,0,0,0,0,0,0,0,0,0,0,0
druid,0,0,0,0,0,0,0,0,0,0,0
drum,0,0,0,0,0,0,0,0,0,0,0
drummer,0,0,0,0,0,0,0,0,0,0,0
drumming,0,0,0,0,0,0,0,0,0,0,0
drunken,0,0,1,0,0,1,0,0,0,0,1
drunkenness,0,0,0,0,0,1,0,0,0,0,1
dry,0,0,0,0,0,0,0,0,0,0,0
dryness,0,0,0,0,0,0,0,0,0,0,0
dual,0,0,0,0,0,0,0,0,0,0,0
dualism,0,0,0,0,0,0,0,0,0,0,0
duality,0,0,0,0,0,0,0,0,0,0,0
dub,0,0,0,0,0,0,0,0,0,0,0
dubious,0,0,0,1,0,1,0,0,0,1,1
ducking,0,0,0,0,0,0,0,0,0,0,0
duct,0,0,0,0,0,0,0,0,0,0,0
ductile,0,0,0,0,0,0,0,0,0,0,0
duds,0,0,0,0,0,0,0,0,0,0,0
due,0,0,0,0,0,0,0,0,0,0,0
duel,1,1,0,1,0,0,0,0,0,0,1
dues,0,0,0,0,0,0,0,0,0,0,0
duet,0,0,0,0,0,0,1,0,0,0,1
dugout,0,0,0,0,0,0,0,0,0,0,0
duke,0,0,0,0,0,0,1,0,0,0,1
dull,0,0,0,0,0,1,0,1,0,0,1
dumb,0,0,0,0,0,1,0,0,0,0,1
dummy,0,0,0,0,0,1,0,0,0,0,1
dump,0,0,0,0,0,0,0,0,0,0,0
dumps,1,0,0,0,0,1,0,1,0,0,1
dun,0,0,0,0,0,1,0,0,0,0,1
dune,0,0,0,0,0,0,0,0,0,0,0
dung,0,0,1,0,0,0,0,0,0,0,1
dungeon,0,0,0,1,0,1,0,0,0,0,1
duo,0,0,0,0,0,0,0,0,0,0,0
dupe,1,0,0,0,0,1,0,0,0,0,1
duplex,0,0,0,0,0,0,0,0,0,0,0
duplicate,0,0,0,0,0,0,0,0,0,0,0
duplication,0,0,0,0,0,0,0,0,0,0,0
duplicity,1,0,0,0,0,1,0,0,0,0,1
durability,0,0,0,0,0,0,1,0,0,1,1
durable,0,0,0,0,0,0,1,0,0,1,1
duration,0,0,0,0,0,0,0,0,0,0,0
duress,1,0,1,1,0,1,0,1,0,0,1
dusk,0,0,0,0,0,0,0,0,0,0,0
dusky,0,0,0,0,0,0,0,0,0,0,0
dust,0,0,0,0,0,1,0,0,0,0,1
duster,0,0,0,0,0,0,0,0,0,0,0
dusty,0,0,0,0,0,0,0,0,0,0,0
dutiful,0,1,0,0,0,0,1,0,0,1,1
dwarf,0,0,0,0,0,0,0,0,0,0,0
dwarfed,0,0,0,1,0,1,0,1,0,0,1
dwell,0,0,0,0,0,0,0,0,0,0,0
dweller,0,0,0,0,0,0,0,0,0,0,0
dwelling,0,0,0,0,0,0,0,0,0,0,0
dye,0,0,0,0,0,0,0,0,0,0,0
dying,1,0,1,1,0,1,0,1,0,0,1
dyke,0,0,0,0,0,0,0,0,0,0,0
dynamic,0,0,0,0,0,0,0,0,1,0,1
dynamical,0,0,0,0,0,0,0,0,0,0,0
dynamics,0,0,0,0,0,0,0,0,0,0,0
dynamite,0,0,0,0,0,0,0,0,0,0,0
dynasty,0,0,0,0,0,0,0,0,0,0,0
dysentery,0,0,1,0,0,1,0,1,0,0,1
dyspepsia,0,0,0,0,0,0,0,0,0,0,0
eager,0,1,0,0,1,0,1,0,1,1,1
eagerness,0,1,0,0,1,0,1,0,0,1,1
eagle,0,0,0,0,0,0,0,0,0,1,1
ear,0,0,0,0,0,0,0,0,0,0,0
earl,0,0,0,0,0,0,1,0,0,0,1
earlier,0,0,0,0,0,0,0,0,0,0,0
early,0,0,0,0,0,0,0,0,0,0,0
earn,0,0,0,0,0,0,1,0,0,0,1
earnest,0,0,0,0,0,0,1,0,0,0,1
earnestly,0,0,0,0,0,0,1,0,0,0,1
earnestness,0,0,0,0,0,0,1,0,0,0,1
earnings,0,0,0,0,0,0,0,0,0,0,0
earring,0,0,0,0,0,0,0,0,0,0,0
earshot,0,0,0,0,0,0,0,0,0,0,0
earth,0,0,0,0,0,0,0,0,0,0,0
earthenware,0,0,0,0,0,0,0,0,0,0,0
earthly,0,0,0,0,0,0,0,0,0,0,0
earthquake,1,0,0,1,0,1,0,1,1,0,1
earthy,0,0,0,0,0,0,0,0,0,0,0
ease,0,0,0,0,0,0,1,0,0,0,1
easel,0,0,0,0,0,0,0,0,0,0,0
easement,0,0,0,0,0,0,1,0,0,0,1
easily,0,0,0,0,0,0,0,0,0,0,0
easy,0,0,0,0,0,0,0,0,0,0,0
easygoing,0,0,0,0,0,0,1,0,0,0,1
eat,0,0,0,0,0,0,1,0,0,0,1
eating,0,0,0,0,0,0,0,0,0,0,0
eavesdropping,0,0,0,0,0,1,0,0,0,0,1
ebb,0,0,0,0,0,0,0,0,0,0,0
ebony,0,0,0,0,0,0,0,0,0,0,0
eccentric,0,0,0,0,0,0,0,0,0,0,0
eccentricity,0,0,0,0,0,0,0,0,0,0,0
ecclesiastical,0,0,0,0,0,0,0,0,0,0,0
echo,0,0,0,0,0,0,0,0,0,0,0
eclectic,0,0,0,0,0,0,0,0,0,0,0
eclipse,0,0,0,0,0,0,0,0,0,0,0
ecliptic,0,0,0,0,0,0,0,0,0,0,0
economical,0,0,0,0,0,0,0,0,0,0,0
economics,0,0,0,0,0,0,0,0,0,0,0
economy,0,0,0,0,0,0,0,0,0,1,1
ecstasy,0,1,0,0,1,0,1,0,0,0,1
ecstatic,0,1,0,0,1,0,1,0,1,0,1
ecumenical,0,0,0,0,0,0,0,0,0,0,0
eddy,0,0,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,0,0,0,0,0
edging,0,0,0,0,0,0,0,0,0,0,0
edible,0,0,0,0,0,0,0,0,0,0,0
edict,0,0,0,1,0,1,0,0,0,0,1
edification,0,1,0,0,1,0,1,0,0,1,1
edifice,0,0,0,0,0,0,0,0,0,0,0
edit,0,0,0,0,0,0,0,0,0,0,0
edition,0,1,0,0,0,0,0,0,0,0,1
editor,0,0,0,0,0,0,0,0,0,0,0
editorial,0,0,0,0,0,0,0,0,0,0,0
educate,0,0,0,0,0,0,1,0,0,0,1
educated,0,0,0,0,0,0,1,0,0,0,1
education,0,0,0,0,0,0,0,0,0,0,0
educational,0,0,0,0,0,0,1,0,0,1,1
eel,0,0,0,1,0,0,0,0,0,0,1
effect,0,0,0,0,0,0,0,0,0,0,0
effective,0,0,0,0,0,0,1,0,0,1,1
effects,0,0,0,0,0,0,0,0,0,0,0
effectual,0,0,0,0,0,0,0,0,0,0,0
effectually,0,0,0,0,0,0,0,0,0,0,0
effectuate,0,0,0,0,0,0,0,0,0,0,0
effeminate,0,0,0,0,0,1,0,0,0,0,1
efficacious,0,0,0,0,0,0,0,0,0,0,0
efficacy,0,0,0,0,0,0,1,0,0,0,1
efficiency,0,0,0,0,0,0,1,0,0,0,1
efficient,0,1,0,0,0,0,1,0,0,1,1
effigy,1,0,0,0,0,0,0,0,0,0,1
effort,0,0,0,0,0,0,1,0,0,0,1
effusion,0,0,0,0,0,0,0,0,0,0,0
egg,0,0,0,0,0,0,0,0,0,0,0
ego,0,0,0,0,0,0,0,0,0,0,0
egotistical,0,0,1,0,0,1,0,0,0,0,1
egregious,1,0,1,0,0,1,0,0,0,0,1
egress,0,0,0,0,0,0,0,0,0,0,0
eighth,0,0,0,0,0,0,0,0,0,0,0
eighty,0,0,0,0,0,0,0,0,0,0,0
ejaculate,0,0,0,0,0,0,0,0,0,0,0
ejaculation,0,1,0,0,1,0,1,0,1,1,1
eject,0,0,0,0,0,1,0,0,0,0,1
ejection,0,0,0,0,0,1,0,0,0,0,1
elaborate,0,0,0,0,0,0,0,0,0,0,0
elaboration,0,0,0,0,0,0,1,0,0,0,1
elan,0,0,0,0,0,0,0,0,0,0,0
elapse,0,0,0,0,0,0,0,0,0,0,0
elapsed,0,0,0,0,0,0,0,0,0,0,0
elastic,0,0,0,0,0,0,0,0,0,0,0
elasticity,0,0,0,0,0,0,0,0,0,0,0
elated,0,0,0,0,1,0,1,0,0,0,1
elbow,1,0,0,0,0,0,0,0,0,0,1
eld,0,0,0,0,0,0,0,0,0,0,0
elder,0,0,0,0,0,0,1,0,0,1,1
elderly,0,0,0,0,0,0,0,0,0,0,0
elders,0,0,0,0,0,0,1,0,0,1,1
eldest,0,0,0,0,0,0,0,0,0,0,0
elect,0,0,0,0,0,0,1,0,0,1,1
election,0,0,0,0,0,0,0,0,0,0,0
elector,0,0,0,0,0,0,0,0,0,0,0
electorate,0,0,0,0,0,0,0,0,0,1,1
electric,0,0,0,0,1,0,1,0,1,0,1
electricity,0,0,0,0,0,0,1,0,0,0,1
elegance,0,1,0,0,1,0,1,0,0,1,1
elegant,0,0,0,0,1,0,1,0,0,0,1
element,0,0,0,0,0,0,0,0,0,0,0
elementary,0,0,0,0,0,0,0,0,0,0,0
elements,0,0,0,0,0,0,0,0,0,0,0
elephant,0,0,0,0,0,0,0,0,0,0,0
elevate,0,0,0,0,0,0,0,0,0,0,0
elevation,0,1,0,1,1,0,1,0,0,1,1
elevator,0,0,0,0,0,0,0,0,0,0,0
eleven,0,0,0,0,0,0,0,0,0,0,0
eleventh,0,0,0,0,0,0,0,0,0,0,0
elf,1,0,1,1,0,0,0,0,0,0,1
elicit,0,0,0,0,0,0,0,0,0,0,0
eligible,0,0,0,0,0,0,1,0,0,0,1
elimination,1,0,1,1,0,1,0,1,0,0,1
elite,0,1,0,0,1,0,1,0,0,1,1
elk,0,0,0,0,0,0,0,0,0,0,0
ell,0,0,0,0,0,0,0,0,0,0,0
ellipse,0,0,0,0,0,0,0,0,0,0,0
ellipsis,0,0,0,0,0,0,0,0,0,0,0
ellipsoid,0,0,0,0,0,0,0,0,0,0,0
elliptic,0,0,0,0,0,0,0,0,0,0,0
elliptical,0,0,0,0,0,0,0,0,0,0,0
elongate,0,0,0,0,0,0,0,0,0,0,0
elongation,0,0,0,0,0,0,0,0,0,0,0
eloquence,0,0,0,0,0,0,1,0,0,0,1
eloquent,0,0,0,0,0,0,1,0,0,0,1
elucidate,0,0,0,0,0,0,1,0,0,1,1
elucidation,0,0,0,0,0,0,0,0,0,0,0
elude,0,0,0,0,0,0,0,0,0,0,0
elusive,0,0,0,0,0,1,0,0,1,0,1
emaciated,0,0,0,1,0,1,0,1,0,0,1
emanate,0,0,0,0,0,0,0,0,0,0,0
emancipation,0,1,0,0,1,0,1,0,0,0,1
embankment,0,0,0,0,0,0,0,0,0,0,0
embargo,0,0,0,0,0,1,0,0,0,0,1
embark,0,0,0,0,0,0,0,0,0,0,0
embarrass,0,0,0,0,0,1,0,1,0,0,1
embarrassing,0,0,0,0,0,1,0,0,0,0,1
embarrassment,0,0,0,1,0,1,0,1,1,0,1
embassy,0,0,0,0,0,0,0,0,0,0,0
embed,0,0,0,0,0,0,0,0,0,0,0
embellish,0,0,0,0,0,0,0,0,0,0,0
embellishment,0,0,0,0,0,0,0,0,0,0,0
embers,0,0,0,0,0,0,0,0,0,0,0
embezzlement,0,0,0,0,0,1,0,0,0,0,1
emblem,0,0,0,0,0,0,0,0,0,0,0
emblematic,0,0,0,0,0,0,0,0,0,0,0
embodiment,0,0,0,0,0,0,0,0,0,0,0
embolism,0,0,0,1,0,1,0,1,0,0,1
embossed,0,0,0,0,0,0,0,0,0,0,0
embrace,0,1,0,0,1,0,1,0,1,1,1
embroidered,0,0,0,0,0,0,0,0,0,0,0
embroidery,0,0,0,0,0,0,0,0,0,0,0
embroiled,0,0,0,0,0,1,0,0,0,0,1
embryo,0,0,0,0,0,0,0,0,0,0,0
embryonic,0,0,0,0,0,0,0,0,0,0,0
emerald,0,0,0,0,0,0,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,0,0
emergence,0,0,0,0,0,0,0,0,0,0,0
emergency,0,0,0,1,0,1,0,1,1,0,1
emeritus,0,0,0,0,0,0,1,0,0,0,1
emigrate,0,0,0,0,0,0,0,0,0,0,0
emigration,0,0,0,0,0,0,0,0,0,0,0
eminence,0,0,0,0,0,0,1,0,0,1,1
eminent,0,0,0,0,0,0,1,0,0,0,1
eminently,0,0,0,0,0,0,1,0,0,0,1
emir,0,0,0,0,0,0,1,0,0,0,1
emission,0,0,0,0,0,0,0,0,0,0,0
emit,0,0,0,0,0,0,0,0,0,0,0
emotion,0,0,0,0,0,0,0,0,0,0,0
emotional,0,0,0,0,0,0,0,0,0,0,0
emotive,0,0,0,0,0,0,0,0,0,0,0
empathy,0,0,0,0,0,0,1,0,0,0,1
emperor,0,0,0,0,0,0,0,0,0,0,0
emphasis,0,0,0,0,0,0,0,0,0,0,0
emphasize,0,0,0,0,0,0,0,0,0,1,1
emphatic,0,0,0,0,0,0,0,0,0,0,0
empire,0,0,0,0,0,0,0,0,0,0,0
empirical,0,0,0,0,0,0,0,0,0,0,0
empiricism,0,0,0,0,0,0,0,0,0,0,0
employ,0,0,0,0,0,0,0,0,0,1,1
employer,0,0,0,0,0,0,0,0,0,0,0
employment,0,0,0,0,0,0,0,0,0,0,0
emporium,0,0,0,0,0,0,0,0,0,0,0
empower,0,0,0,0,0,0,1,0,0,0,1
empress,0,0,0,0,0,0,0,0,0,0,0
emptiness,0,0,0,0,0,0,0,1,0,0,1
emption,0,0,0,0,0,0,0,0,0,0,0
empty,0,0,0,0,0,0,0,0,0,0,0
emulate,0,0,0,0,0,0,1,0,0,0,1
emulsion,0,0,0,0,0,0,0,0,0,0,0
enable,0,0,0,0,0,0,1,0,0,1,1
enablement,0,0,0,0,0,0,1,0,0,1,1
enact,0,0,0,0,0,0,0,0,0,0,0
enactment,0,0,0,0,0,0,0,0,0,0,0
enamel,0,0,0,0,0,0,0,0,0,0,0
encampment,0,0,0,0,0,0,0,0,0,0,0
enchant,0,1,0,0,1,0,1,0,1,0,1
enchanted,0,0,0,0,1,0,1,0,0,1,1
enchanting,0,1,0,0,1,0,1,0,0,0,1
enchantment,0,0,0,0,0,0,0,0,0,0,0
encircle,0,0,0,0,0,0,0,0,0,0,0
encircling,0,0,0,0,0,0,0,0,0,0,0
enclave,0,0,0,0,0,1,0,0,0,0,1
enclose,0,0,0,0,0,0,0,0,0,0,0
encode,0,0,0,0,0,0,0,0,0,0,0
encompass,0,0,0,0,0,0,0,0,0,0,0
encore,0,0,0,0,0,0,1,0,0,0,1
encounter,0,0,0,0,0,0,0,0,0,0,0
encourage,0,0,0,0,1,0,1,0,0,1,1
encouragement,0,0,0,0,0,0,1,0,0,0,1
encroach,0,0,0,0,0,0,0,0,0,0,0
encroachment,0,0,0,1,0,1,0,0,0,0,1
encrypt,0,0,0,0,0,0,0,0,0,0,0
encumbrance,1,0,0,1,0,1,0,1,0,0,1
encyclopedia,0,0,0,0,0,0,1,0,0,1,1
end,0,0,0,0,0,0,0,0,0,0,0
endanger,0,1,0,1,0,1,0,0,0,0,1
endangered,0,0,0,1,0,1,0,0,0,0,1
endeavor,0,1,0,0,0,0,1,0,0,0,1
ended,0,0,0,0,0,0,0,0,0,0,0
endemic,0,0,1,1,0,1,0,1,0,0,1
ending,0,0,0,0,0,0,0,0,0,0,0
endless,1,0,0,1,1,1,1,1,0,1,1
endocarditis,0,0,0,1,0,0,0,1,0,0,1
endorsement,0,0,0,0,0,0,0,0,0,0,0
endow,0,0,0,0,0,0,1,0,0,1,1
endowed,0,0,0,0,0,0,1,0,0,0,1
endowment,0,0,0,0,0,0,1,0,0,1,1
endpapers,0,0,0,0,0,0,0,0,0,0,0
endpoint,0,0,0,0,0,0,0,0,0,0,0
endurance,0,0,0,0,0,0,1,0,0,0,1
endure,0,0,0,0,0,0,1,0,0,0,1
enema,0,0,1,0,0,0,0,0,0,0,1
enemy,1,0,1,1,0,1,0,0,0,0,1
energetic,0,0,0,0,0,0,1,0,0,0,1
energy,0,0,0,0,0,0,0,0,0,0,0
enforce,1,0,0,1,0,1,1,0,0,0,1
enforcement,0,0,0,0,0,1,0,0,0,0,1
engage,0,0,0,0,0,0,0,0,0,0,0
engaged,0,1,0,0,1,0,1,0,0,1,1
engagement,0,0,0,0,0,0,0,0,0,0,0
engaging,0,0,0,0,1,0,1,0,0,1,1
engender,0,0,0,0,0,0,0,0,0,0,0
engine,0,0,0,0,0,0,0,0,0,0,0
engineer,0,0,0,0,0,0,0,0,0,0,0
engineering,0,0,0,0,0,0,0,0,0,0,0
engrave,0,0,0,0,0,0,0,0,0,0,0
engraved,0,0,0,0,0,0,0,0,0,0,0
engraver,0,0,0,0,0,0,0,0,0,0,0
engraving,0,0,0,0,0,0,0,0,0,0,0
engrossed,0,0,0,0,0,0,0,0,0,0,0
engrossing,0,0,0,0,0,0,0,0,0,0,0
engulf,0,1,0,0,0,0,0,0,0,0,1
enhance,0,0,0,0,0,0,1,0,0,0,1
enigma,0,0,0,0,0,0,0,0,0,0,0
enigmatic,0,0,0,1,0,1,0,0,0,0,1
enjoin,0,0,0,0,0,0,0,0,0,0,0
enjoy,0,1,0,0,1,0,1,0,0,1,1
enjoying,0,1,0,0,1,0,1,0,0,1,1
